Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64ff0b39ba1dabf297446f05,64e8de5edaead7b68f61e89e,APPROVED,2023-09-11T12:42:52.747000Z,2023-09-11T12:51:34.029000Z,2023-09-11T12:51:34.690000,2023-09-11T12:51:34.624680Z,522,C13E0WG5,0,23,Male,White,Poland,Poland,Poland,Polish,No,Part-Time
64ff0b3a0fdee770d4815be3,60cb3a3e82065e2f9dcdd8e7,APPROVED,2023-09-11T12:42:34.947000Z,2023-09-11T13:04:46.535000Z,2023-09-11T13:04:47.081000,2023-09-11T13:04:47.018027Z,1332,C13E0WG5,276,23,Male,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
64ff0b3ca987549a0719d8a3,6081bf50562880127b418614,APPROVED,2023-09-11T12:43:52.679000Z,2023-09-11T13:05:18.823000Z,2023-09-11T13:05:21.409000,2023-09-11T13:05:21.278815Z,1287,C13E0WG5,111,26,Female,Black,Zambia,South Africa,Zambia,English,Yes,Full-Time
64ff0b3e6ab4ace919b4fd5e,61127b4ee0fc6aac8d202a6d,APPROVED,2023-09-11T12:43:10.656000Z,2023-09-11T13:16:55.453000Z,2023-09-11T13:16:56.170000,2023-09-11T13:16:56.110834Z,2025,C13E0WG5,53,27,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
64ff0b417a630288e34450a7,60fd249c552db1813b4a9c1a,APPROVED,2023-09-11T12:42:46.748000Z,2023-09-11T12:53:15.942000Z,2023-09-11T12:53:16.937000,2023-09-11T12:53:16.857913Z,630,C13E0WG5,154,30,Female,Black,Zimbabwe,South Africa,South Africa,English,No,Part-Time
64ff0b4262d2879b49c1d008,6131d47f12fba480f3a5b75e,APPROVED,2023-09-11T12:44:22.125000Z,2023-09-11T13:02:30.618000Z,2023-09-11T13:02:31.181000,2023-09-11T13:02:31.084000Z,1089,C13E0WG5,150,31,Male,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
64ff0b42e505693d07d8fbff,5f54e8b489382806cd01c2cb,APPROVED,2023-09-11T12:42:42.944000Z,2023-09-11T12:51:12.513000Z,2023-09-11T12:51:13.703000,2023-09-11T12:51:13.642850Z,510,C13E0WG5,367,33,Male,White,Poland,Poland,United Kingdom,Polish,Yes,Full-Time
64ff0b4446ff13a3b190e83a,612c01a35b9b56e42cd7dc17,APPROVED,2023-09-11T12:43:31.343000Z,2023-09-11T12:57:36.946000Z,2023-09-11T12:57:37.599000,2023-09-11T12:57:37.512118Z,846,C13E0WG5,157,23,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
64ff0b4809d393997bb75d25,5d0e2a06facd7500197a46e3,APPROVED,2023-09-11T12:42:51.526000Z,2023-09-11T12:49:44.608000Z,2023-09-11T12:49:45.386000,2023-09-11T12:49:45.315332Z,414,C13E0WG5,1162,22,Male,White,United States,Portugal,United States,English,No,Full-Time
64ff0b486ab4ace919b4fd60,64527487b51c06c5116c27e7,APPROVED,2023-09-11T12:42:59.917000Z,2023-09-11T12:58:57.546000Z,2023-09-11T12:58:59.330000,2023-09-11T12:58:59.234214Z,958,C13E0WG5,21,30,Female,White,France,France,France,French,No,DATA_EXPIRED
64ff0b4a49ffbeb853811bc8,615447995b2413d295f720bf,APPROVED,2023-09-11T12:43:19.762000Z,2023-09-11T12:48:12.989000Z,2023-09-11T12:48:13.652000,2023-09-11T12:48:13.519447Z,294,C13E0WG5,299,37,Male,White,Greece,Greece,Greece,Greek,No,Full-Time
64ff0b4b5e073fa26d662dac,6166dab6703c96b787944f15,APPROVED,2023-09-11T12:43:30.215000Z,2023-09-11T12:55:37.160000Z,2023-09-11T12:55:37.862000,2023-09-11T12:55:37.771419Z,727,C13E0WG5,127,24,Female,Black,South Africa,South Africa,South Africa,English,No,DATA_EXPIRED
64ff0b51a83115afdc6c2454,605b45ef5df272b838aa2f66,APPROVED,2023-09-11T12:45:32.026000Z,2023-09-11T13:10:47.632000Z,2023-09-11T13:10:48.285000,2023-09-11T13:10:48.185584Z,1516,C13E0WG5,75,22,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
64ff0b52221a30e2a0777478,60faab6f9d9a835ba3b8327f,APPROVED,2023-09-11T12:43:07.580000Z,2023-09-11T13:01:36.061000Z,2023-09-11T13:01:37.155000,2023-09-11T13:01:37.066424Z,1109,C13E0WG5,242,27,Female,Black,Zimbabwe,South Africa,Zimbabwe,English,Yes,Part-Time
64ff0b533d2dd7f426d331cf,60b880518b31da36270782eb,APPROVED,2023-09-11T12:42:59.982000Z,2023-09-11T13:25:36.416000Z,2023-09-11T13:25:37.017000,2023-09-11T13:25:36.985173Z,2557,C13E0WG5,405,29,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
64ff0b547a630288e34450ab,6111875ad5dd629cdf90a8db,APPROVED,2023-09-11T12:43:48.125000Z,2023-09-11T12:51:19.906000Z,2023-09-11T12:51:20.705000,2023-09-11T12:51:20.600247Z,452,C13E0WG5,123,53,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
64ff0b552d20a78ff7e88d52,603ce82991e3f8aed1ffc327,APPROVED,2023-09-11T12:43:01.663000Z,2023-09-11T12:50:37.178000Z,2023-09-11T12:50:39.312000,2023-09-11T12:50:39.223046Z,456,C13E0WG5,420,21,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
64ff0b575996f3a98445a32a,6155e5fbf44677ab2835421d,APPROVED,2023-09-11T12:43:08.523000Z,2023-09-11T12:54:41.232000Z,2023-09-11T12:54:42.524000,2023-09-11T12:54:42.413950Z,693,C13E0WG5,115,24,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
